   0: #000000, #c412ed, #ffffff
   1: #000000, #c50eed, #ffffff
   2: #000000, #c415ec, #ffffff
   3: #000000, #c414ec, #ffffff
   4: #000000, #c501f2, #ffffff
   5: #000000, #c603ef, #ffffff
   6: #000000, #c601f0, #ffffff
   7: #000000, #c600f0, #ffffff
   8: #000000, #c510ec, #ffffff
   9: #000000, #c318ec, #ffffff
  10: #000000, #c319eb, #ffffff
  11: #000000, #c316ed, #ffffff
  12: #000000, #c31aeb, #ffffff
  13: #000000, #c40bf1, #ffffff
  14: #000000, #c40af1, #ffffff
  15: #000000, #c409f1, #ffffff
  16: #000000, #c416eb, #ffffff
  17: #000000, #c602f0, #ffffff
  18: #000000, #c50dee, #ffffff
  19: #000000, #c50cef, #ffffff
  20: #000000, #c50cee, #ffffff
  21: #000000, #c50bef, #ffffff
  22: #000000, #c50bee, #ffffff
  23: #000000, #c50aef, #ffffff
  24: #000000, #c509ef, #ffffff
  25: #000000, #c417eb, #ffffff
  26: #000000, #c603f0, #ffffff
  27: #000000, #c509f0, #ffffff
  28: #000000, #c508f0, #ffffff
  29: #000000, #c507f0, #ffffff
  30: #000000, #c506f0, #ffffff
  31: #000000, #c505f1, #ffffff
  32: #000000, #c504f1, #ffffff
  33: #000000, #c503f1, #ffffff
  34: #000000, #c605ee, #ffffff
  35: #000000, #c11ced, #ffffff
  36: #000000, #c21deb, #ffffff
  37: #000000, #c21dea, #ffffff
  38: #000000, #c21ceb, #ffffff
  39: #000000, #c417ea, #ffffff
  40: #000000, #c21fea, #ffffff
  41: #000000, #c21eea, #ffffff
  42: #000000, #c700f0, #ffffff
  43: #000000, #c31bea, #ffffff
  44: #000000, #c31aea, #ffffff
  45: #000000, #c703f0, #ffffff
  46: #000000, #c702f0, #ffffff
  47: #000000, #c701f0, #ffffff
  48: #000000, #c21bec, #ffffff
  49: #000000, #c701f1, #ffffff
  50: #000000, #c700f1, #ffffff
  51: #000000, #c418ea, #ffffff
  52: #000000, #c604ef, #ffffff
  53: #000000, #c50def, #ffffff
  54: #000000, #c416ec, #ffffff
  55: #000000, #c31cea, #ffffff
  56: #000000, #c705f0, #ffffff
  57: #000000, #c704f0, #ffffff
  58: #000000, #c313f0, #ffffff
