   0: #000000, #c50eed, #ffffff
   1: #000000, #c603ef, #ffffff
   2: #000000, #c600f0, #ffffff
   3: #000000, #c510ec, #ffffff
   4: #000000, #c318ec, #ffffff
   5: #000000, #c31aeb, #ffffff
   6: #000000, #c602f0, #ffffff
   7: #000000, #c50dee, #ffffff
   8: #000000, #c50cef, #ffffff
   9: #000000, #c50cee, #ffffff
  10: #000000, #c50bef, #ffffff
  11: #000000, #c50bee, #ffffff
  12: #000000, #c50aef, #ffffff
  13: #000000, #c509ef, #ffffff
  14: #000000, #c603f0, #ffffff
  15: #000000, #c509f0, #ffffff
  16: #000000, #c508f0, #ffffff
  17: #000000, #c507f0, #ffffff
  18: #000000, #c506f0, #ffffff
  19: #000000, #c505f1, #ffffff
  20: #000000, #c504f1, #ffffff
  21: #000000, #c503f1, #ffffff
  22: #000000, #c21deb, #ffffff
  23: #000000, #c21dea, #ffffff
  24: #000000, #c21ceb, #ffffff
  25: #000000, #c21fea, #ffffff
  26: #000000, #c21eea, #ffffff
  27: #000000, #c700f0, #ffffff
  28: #000000, #c31bea, #ffffff
  29: #000000, #c31aea, #ffffff
  30: #000000, #c703f0, #ffffff
  31: #000000, #c702f0, #ffffff
  32: #000000, #c21bec, #ffffff
  33: #000000, #c700f1, #ffffff
  34: #000000, #c604ef, #ffffff
  35: #000000, #c50def, #ffffff
  36: #000000, #c31cea, #ffffff
  37: #000000, #c705f0, #ffffff
  38: #000000, #c704f0, #ffffff
  39: #000000, #c313f0, #ffffff
  40: #000000, #c312f0, #ffffff
  41: #000000, #c311f0, #ffffff
  42: #000000, #c607ef, #ffffff
  43: #000000, #c606ef, #ffffff
  44: #000000, #c605ef, #ffffff
  45: #000000, #c700ef, #ffffff
  46: #000000, #c608ef, #ffffff
  47: #000000, #c411ef, #ffffff
  48: #000000, #c50fed, #ffffff
  49: #000000, #bf26e8, #ffffff
  50: #000000, #c702ef, #ffffff
  51: #000000, #c507f2, #ffffff
  52: #000000, #c506f2, #ffffff
  53: #000000, #c505f2, #ffffff
  54: #000000, #c504f3, #ffffff
  55: #000000, #c504f2, #ffffff
  56: #000000, #c503f3, #ffffff
  57: #000000, #c503f2, #ffffff
  58: #000000, #c502f3, #ffffff
  59: #000000, #c502f2, #ffffff
  60: #000000, #c500f3, #ffffff
  61: #000000, #c50eee, #ffffff
  62: #000000, #c60cef, #ffffff
  63: #000000, #c60bef, #ffffff
  64: #000000, #c60aef, #ffffff
  65: #000000, #c609ef, #ffffff
  66: #000000, #c604f0, #ffffff
  67: #000000, #c31de9, #ffffff
  68: #000000, #c31ce9, #ffffff
  69: #000000, #c020ec, #ffffff
  70: #000000, #c123e9, #ffffff
  71: #000000, #c60def, #ffffff
  72: #000000, #c21fe9, #ffffff
  73: #000000, #c60bf0, #ffffff
  74: #000000, #c60af0, #ffffff
  75: #000000, #c609f0, #ffffff
  76: #000000, #c608f0, #ffffff
  77: #000000, #c607f1, #ffffff
  78: #000000, #c607f0, #ffffff
  79: #000000, #c606f1, #ffffff
  80: #000000, #c606f0, #ffffff
  81: #000000, #c605f1, #ffffff
  82: #000000, #c605f0, #ffffff
  83: #000000, #c604f1, #ffffff
  84: #000000, #c603f1, #ffffff
  85: #000000, #c602f1, #ffffff
  86: #000000, #c600f2, #ffffff
  87: #000000, #c600f1, #ffffff
  88: #000000, #c608ee, #ffffff
  89: #000000, #c510ee, #ffffff
  90: #000000, #c50fee, #ffffff
  91: #000000, #c602f2, #ffffff
  92: #000000, #c31beb, #ffffff
  93: #000000, #c319ec, #ffffff
  94: #000000, #c60bee, #ffffff
  95: #000000, #c60aee, #ffffff
  96: #000000, #c609ee, #ffffff
  97: #000000, #c220e8, #ffffff
  98: #000000, #c21bee, #ffffff
  99: #000000, #c21aee, #ffffff
 100: #000000, #c219ef, #ffffff
 101: #000000, #c219ee, #ffffff
 102: #000000, #c218ef, #ffffff
 103: #000000, #c218ee, #ffffff
 104: #000000, #c217ef, #ffffff
 105: #000000, #c215f0, #ffffff
 106: #000000, #c709ef, #ffffff
 107: #000000, #c708ef, #ffffff
 108: #000000, #c707ef, #ffffff
 109: #000000, #c706ef, #ffffff
 110: #000000, #c705ef, #ffffff
 111: #000000, #c704ef, #ffffff
 112: #000000, #c703ef, #ffffff
 113: #000000, #c31aec, #ffffff
 114: #000000, #c319ed, #ffffff
 115: #000000, #c318ed, #ffffff
 116: #000000, #c317ee, #ffffff
 117: #000000, #c317ed, #ffffff
 118: #000000, #c60cee, #ffffff
 119: #000000, #bf27e7, #ffffff
 120: #000000, #c216f0, #ffffff
 121: #000000, #c214f1, #ffffff
 122: #000000, #c213f1, #ffffff
 123: #000000, #c31aed, #ffffff
 124: #000000, #c31de8, #ffffff
 125: #000000, #c221e8, #ffffff
 126: #000000, #c318ee, #ffffff
 127: #000000, #c315ef, #ffffff
 128: #000000, #c314ef, #ffffff
 129: #000000, #c313ef, #ffffff
 130: #000000, #c708ee, #ffffff
 131: #000000, #c30cf4, #ffffff
 132: #000000, #c30bf4, #ffffff
 133: #000000, #c304f5, #ffffff
 134: #000000, #c60aed, #ffffff
 135: #000000, #c609ed, #ffffff
 136: #000000, #c608ed, #ffffff
 137: #000000, #c511ed, #ffffff
 138: #000000, #c510ed, #ffffff
 139: #000000, #c417ed, #ffffff
 140: #000000, #c513ee, #ffffff
 141: #000000, #c512ee, #ffffff
 142: #000000, #c511ee, #ffffff
 143: #000000, #c411f1, #ffffff
 144: #000000, #c40ef2, #ffffff
 145: #000000, #c40df2, #ffffff
 146: #000000, #c40cf2, #ffffff
 147: #000000, #c40bf2, #ffffff
 148: #000000, #c205f7, #ffffff
 149: #000000, #c803ee, #ffffff
 150: #000000, #c802ee, #ffffff
 151: #000000, #c800ee, #ffffff
 152: #000000, #c70cee, #ffffff
 153: #000000, #c70bee, #ffffff
