   0: #000000, #c600f0, #ffffff
   1: #000000, #c603f0, #ffffff
   2: #000000, #c31bea, #ffffff
   3: #000000, #c312f0, #ffffff
   4: #000000, #c609f0, #ffffff
   5: #000000, #c606f0, #ffffff
   6: #000000, #c318ed, #ffffff
   7: #000000, #c609ed, #ffffff
   8: #000000, #c303f6, #ffffff
   9: #000000, #c60ced, #ffffff
  10: #000000, #c027e7, #ffffff
  11: #000000, #c606f3, #ffffff
  12: #000000, #c603f3, #ffffff
  13: #000000, #c600f3, #ffffff
  14: #000000, #c60fed, #ffffff
  15: #000000, #c31ee7, #ffffff
  16: #000000, #c01bf0, #ffffff
  17: #000000, #c612ed, #ffffff
  18: #000000, #c315f0, #ffffff
  19: #000000, #c30ff3, #ffffff
  20: #000000, #c30cf3, #ffffff
  21: #000000, #c60cf0, #ffffff
  22: #000000, #c021ed, #ffffff
  23: #000000, #c31bed, #ffffff
  24: #000000, #bd2de4, #ffffff
  25: #000000, #c60fea, #ffffff
  26: #000000, #c31eea, #ffffff
  27: #000000, #c012f6, #ffffff
  28: #000000, #c309f6, #ffffff
  29: #000000, #c306f6, #ffffff
  30: #000000, #c612ea, #ffffff
  31: #000000, #c024ea, #ffffff
  32: #000000, #bd2aea, #ffffff
  33: #000000, #c615ea, #ffffff
  34: #000000, #c003fc, #ffffff
  35: #000000, #c01ef0, #ffffff
  36: #000000, #c903ea, #ffffff
  37: #000000, #c900ea, #ffffff
  38: #000000, #bd24f0, #ffffff
  39: #000000, #c318f0, #ffffff
  40: #000000, #c018f3, #ffffff
  41: #000000, #bd30e4, #ffffff
  42: #000000, #c312f3, #ffffff
  43: #000000, #bd2de7, #ffffff
  44: #000000, #c00ff9, #ffffff
  45: #000000, #c00cf9, #ffffff
  46: #000000, #c306f9, #ffffff
  47: #000000, #c303f9, #ffffff
  48: #000000, #c300f9, #ffffff
  49: #000000, #ba33e4, #ffffff
  50: #000000, #c024ed, #ffffff
  51: #000000, #ba30e7, #ffffff
  52: #000000, #bd27ed, #ffffff
  53: #000000, #bd30e1, #ffffff
  54: #000000, #c900ed, #ffffff
  55: #000000, #b736e4, #ffffff
  56: #000000, #c30cf6, #ffffff
  57: #000000, #c018f6, #ffffff
  58: #000000, #c015f6, #ffffff
  59: #000000, #c615e7, #ffffff
  60: #000000, #c321e7, #ffffff
  61: #000000, #ba36e1, #ffffff
  62: #000000, #c903ed, #ffffff
  63: #000000, #c30ff6, #ffffff
  64: #000000, #c02ae1, #ffffff
  65: #000000, #c618e7, #ffffff
  66: #000000, #c027ea, #ffffff
  67: #000000, #bd1ef6, #ffffff
  68: #000000, #c00cfc, #ffffff
  69: #000000, #c009fc, #ffffff
  70: #000000, #c006fc, #ffffff
  71: #000000, #c906e7, #ffffff
  72: #000000, #c021f0, #ffffff
  73: #000000, #b739e1, #ffffff
  74: #000000, #c01ef3, #ffffff
  75: #000000, #c01bf3, #ffffff
  76: #000000, #c315f3, #ffffff
  77: #000000, #ba30ea, #ffffff
  78: #000000, #b730ed, #ffffff
  79: #000000, #bd27f0, #ffffff
  80: #000000, #b43fdb, #ffffff
  81: #000000, #bd21f3, #ffffff
  82: #000000, #c015f9, #ffffff
  83: #000000, #c012f9, #ffffff
  84: #000000, #ba36de, #ffffff
  85: #000000, #ba2af0, #ffffff
  86: #000000, #c321e4, #ffffff
  87: #000000, #c02ae4, #ffffff
  88: #000000, #ba33e7, #ffffff
  89: #000000, #c618ea, #ffffff
  90: #000000, #bd1bf9, #ffffff
  91: #000000, #bd18f9, #ffffff
  92: #000000, #ba27f3, #ffffff
  93: #000000, #bd2aed, #ffffff
  94: #000000, #b733ea, #ffffff
  95: #000000, #b73cde, #ffffff
  96: #000000, #c906ea, #ffffff
  97: #000000, #c324e4, #ffffff
  98: #000000, #b43ce1, #ffffff
  99: #000000, #c909ea, #ffffff
 100: #000000, #bd33de, #ffffff
 101: #000000, #c61be4, #ffffff
 102: #000000, #ba2ded, #ffffff
 103: #000000, #b739e4, #ffffff
 104: #000000, #bd21f6, #ffffff
 105: #000000, #ba21f9, #ffffff
 106: #000000, #c90ce4, #ffffff
 107: #000000, #b736e7, #ffffff
 108: #000000, #c00ffc, #ffffff
 109: #000000, #278a00, #ffffff
 110: #000000, #c003ff, #ffffff
 111: #000000, #c000ff, #ffffff
 112: #000000, #b142db, #ffffff
 113: #000000, #c006ff, #ffffff
 114: #000000, #278a03, #ffffff
 115: #000000, #bd18fc, #ffffff
 116: #000000, #bd15fc, #ffffff
 117: #000000, #b436ea, #ffffff
 118: #000000, #ba24f6, #ffffff
 119: #000000, #bd0fff, #ffffff
 120: #000000, #bd0cff, #ffffff
 121: #000000, #bd24f3, #ffffff
 122: #000000, #b73cdb, #ffffff
 123: #000000, #c909e7, #ffffff
 124: #000000, #c61be7, #ffffff
 125: #000000, #c324e1, #ffffff
 126: #000000, #ae48d2, #ffffff
 127: #000000, #b145d5, #ffffff
 128: #000000, #ba2df0, #ffffff
 129: #000000, #c90ce7, #ffffff
 130: #000000, #b43ce4, #ffffff
 131: #000000, #b13fe1, #ffffff
 132: #000000, #b439e7, #ffffff
 133: #000000, #bd1ef9, #ffffff
 134: #000000, #c02de1, #ffffff
 135: #000000, #ba1efc, #ffffff
 136: #000000, #ba2af3, #ffffff
 137: #000000, #b442d5, #ffffff
 138: #000000, #c90fe7, #ffffff
 139: #000000, #bd33db, #ffffff
 140: #000000, #ba39db, #ffffff
 141: #000000, #ba18ff, #ffffff
 142: #000000, #c61ee1, #ffffff
 143: #000000, #c327e1, #ffffff
 144: #000000, #b72af6, #ffffff
 145: #000000, #ba24f9, #ffffff
 146: #000000, #b730f0, #ffffff
 147: #000000, #b72df3, #ffffff
 148: #000000, #b43fde, #ffffff
 149: #000000, #b145d8, #ffffff
 150: #000000, #b724fc, #ffffff
 151: #000000, #b442d8, #ffffff
 152: #000000, #bd15ff, #ffffff
 153: #000000, #bd12ff, #ffffff
 154: #000000, #ba27f6, #ffffff
 155: #000000, #c02dde, #ffffff
 156: #000000, #ba1bff, #ffffff
 157: #000000, #248a00, #ffffff
 158: #000000, #ae48d5, #ffffff
 159: #000000, #b733ed, #ffffff
 160: #000000, #c912e4, #ffffff
 161: #000000, #c90fe4, #ffffff
 162: #000000, #c61ee4, #ffffff
 163: #000000, #b13ce7, #ffffff
 164: #000000, #c327de, #ffffff
 165: #000000, #ba39d8, #ffffff
 166: #000000, #b73fd8, #ffffff
 167: #000000, #c915e4, #ffffff
 168: #000000, #b727f9, #ffffff
 169: #000000, #c030de, #ffffff
 170: #000000, #ba21fc, #ffffff
 171: #000000, #ae42e1, #ffffff
 172: #000000, #cc03e4, #ffffff
 173: #000000, #cc00e4, #ffffff
 174: #000000, #ab4bd2, #ffffff
 175: #000000, #218a00, #ffffff
 176: #000000, #1e8a00, #ffffff
 177: #000000, #1b8a00, #ffffff
 178: #000000, #188a00, #ffffff
 179: #000000, #c621de, #ffffff
 180: #000000, #c32ade, #ffffff
 181: #000000, #b433f0, #ffffff
 182: #000000, #b430f3, #ffffff
 183: #000000, #b72df6, #ffffff
 184: #000000, #248a03, #ffffff
 185: #000000, #218a03, #ffffff
 186: #000000, #1e8a03, #ffffff
 187: #000000, #1b8a03, #ffffff
 188: #000000, #188a03, #ffffff
 189: #000000, #b139ed, #ffffff
 190: #000000, #b721ff, #ffffff
 191: #000000, #b142de, #ffffff
 192: #000000, #b436ed, #ffffff
 193: #000000, #248a06, #ffffff
 194: #000000, #218a06, #ffffff
 195: #000000, #1e8a06, #ffffff
 196: #000000, #1b8a06, #ffffff
 197: #000000, #188a06, #ffffff
 198: #000000, #c912e1, #ffffff
 199: #000000, #c621e1, #ffffff
 200: #000000, #cc00e7, #ffffff
 201: #000000, #b73fd5, #ffffff
 202: #000000, #ae48d8, #ffffff
 203: #000000, #ae45db, #ffffff
 204: #000000, #b727fc, #ffffff
 205: #000000, #ba1eff, #ffffff
 206: #000000, #b42df9, #ffffff
 207: #000000, #c915e1, #ffffff
 208: #000000, #158a03, #ffffff
 209: #000000, #c030db, #ffffff
 210: #000000, #bd36db, #ffffff
 211: #000000, #b439ea, #ffffff
 212: #000000, #cc06e1, #ffffff
 213: #000000, #cc03e1, #ffffff
 214: #000000, #c918e1, #ffffff
 215: #000000, #9c6f15, #ffffff
 216: #000000, #9c6f12, #ffffff
 217: #000000, #b148cf, #ffffff
 218: #000000, #ae4bcf, #ffffff
 219: #000000, #c32adb, #ffffff
 220: #000000, #ae3fe7, #ffffff
 221: #000000, #b13fe4, #ffffff
 222: #000000, #158a06, #ffffff
 223: #000000, #b72af9, #ffffff
 224: #000000, #248a09, #ffffff
 225: #000000, #218a09, #ffffff
 226: #000000, #1e8a09, #ffffff
 227: #000000, #1b8a09, #ffffff
 228: #000000, #188a09, #ffffff
 229: #000000, #b430f6, #ffffff
 230: #000000, #cc09e1, #ffffff
 231: #000000, #ba3cd5, #ffffff
 232: #000000, #9c6f18, #ffffff
 233: #000000, #248a0c, #ffffff
 234: #000000, #218a0c, #ffffff
 235: #000000, #1e8a0c, #ffffff
 236: #000000, #1b8a0c, #ffffff
 237: #000000, #b427ff, #ffffff
 238: #000000, #ab4ecf, #ffffff
 239: #000000, #b433f3, #ffffff
 240: #000000, #158a09, #ffffff
 241: #000000, #158a00, #ffffff
 242: #000000, #248a0f, #ffffff
 243: #000000, #218a0f, #ffffff
 244: #000000, #1e8a0f, #ffffff
 245: #000000, #1b8a0f, #ffffff
 246: #000000, #b724ff, #ffffff
 247: #000000, #cc06e4, #ffffff
 248: #000000, #ae45de, #ffffff
 249: #000000, #b42afc, #ffffff
 250: #000000, #ae3ced, #ffffff
 251: #000000, #bd36d8, #ffffff
 252: #000000, #188a0c, #ffffff
 253: #000000, #158a0c, #ffffff
 254: #000000, #c918de, #ffffff
 255: #000000, #c624de, #ffffff
 256: #000000, #9c6f03, #ffffff
 257: #000000, #9c6f00, #ffffff
 258: #000000, #ae4bcc, #ffffff
 259: #000000, #ab4ecc, #ffffff
 260: #000000, #b445d2, #ffffff
 261: #000000, #c033d8, #ffffff
 262: #000000, #b130f9, #ffffff
 263: #000000, #cc0cde, #ffffff
 264: #000000, #cc09de, #ffffff
 265: #000000, #c91bde, #ffffff
 266: #000000, #b13cea, #ffffff
 267: #000000, #128a00, #ffffff
 268: #000000, #ba3cd2, #ffffff
 269: #000000, #188a0f, #ffffff
 270: #000000, #158a0f, #ffffff
 271: #000000, #b148cc, #ffffff
 272: #000000, #248a12, #ffffff
 273: #000000, #218a12, #ffffff
 274: #000000, #1e8a12, #ffffff
 275: #000000, #1b8a12, #ffffff
 276: #000000, #c32dd8, #ffffff
 277: #000000, #9c6f1b, #ffffff
 278: #000000, #ab48db, #ffffff
 279: #000000, #a851c6, #ffffff
 280: #000000, #128a03, #ffffff
 281: #000000, #0f8a03, #ffffff
 282: #000000, #b133f6, #ffffff
 283: #000000, #9c6f0f, #ffffff
 284: #000000, #9c6f0c, #ffffff
 285: #000000, #9c6f09, #ffffff
 286: #000000, #9c6f06, #ffffff
 287: #000000, #b136f3, #ffffff
 288: #000000, #248a15, #ffffff
 289: #000000, #218a15, #ffffff
 290: #000000, #1e8a15, #ffffff
 291: #000000, #a851c9, #ffffff
 292: #000000, #ae42e4, #ffffff
 293: #000000, #128a06, #ffffff
 294: #000000, #0f8a06, #ffffff
 295: #000000, #ab4bd5, #ffffff
 296: #000000, #188a12, #ffffff
 297: #000000, #158a12, #ffffff
 298: #000000, #ab42e7, #ffffff
 299: #000000, #cc0ce1, #ffffff
 300: #000000, #a84bd8, #ffffff
 301: #000000, #b42aff, #ffffff
 302: #000000, #b139f0, #ffffff
 303: #000000, #c624db, #ffffff
 304: #000000, #c32ddb, #ffffff
 305: #000000, #3c8712, #ffffff
 306: #000000, #3c870f, #ffffff
 307: #000000, #3c870c, #ffffff
 308: #000000, #3c8709, #ffffff
 309: #000000, #3c8706, #ffffff
 310: #000000, #3c8703, #ffffff
 311: #000000, #3c8700, #ffffff
 312: #000000, #b445cf, #ffffff
 313: #000000, #3c8718, #ffffff
 314: #000000, #3c8715, #ffffff
 315: #000000, #1b8a15, #ffffff
 316: #000000, #ab4ec9, #ffffff
 317: #000000, #967212, #ffffff
 318: #000000, #96720f, #ffffff
 319: #000000, #96720c, #ffffff
 320: #000000, #967209, #ffffff
 321: #000000, #967206, #ffffff
 322: #000000, #c91bdb, #ffffff
 323: #000000, #c627db, #ffffff
 324: #000000, #3c8721, #ffffff
 325: #000000, #b130fc, #ffffff
 326: #000000, #c033d5, #ffffff
 327: #000000, #bd39d5, #ffffff
 328: #000000, #3f8712, #ffffff
 329: #000000, #3f870f, #ffffff
 330: #000000, #218a18, #ffffff
 331: #000000, #1e8a18, #ffffff
 332: #000000, #967203, #ffffff
 333: #000000, #967200, #ffffff
 334: #000000, #b42dfc, #ffffff
 335: #000000, #9c6f1e, #ffffff
 336: #000000, #b742cf, #ffffff
 337: #000000, #ab45e1, #ffffff
 338: #000000, #128a09, #ffffff
 339: #000000, #0f8a09, #ffffff
 340: #000000, #3f870c, #ffffff
 341: #000000, #3f8709, #ffffff
 342: #000000, #3f8706, #ffffff
 343: #000000, #3f8703, #ffffff
 344: #000000, #3f8700, #ffffff
 345: #000000, #3f8721, #ffffff
 346: #000000, #3f871e, #ffffff
 347: #000000, #cc12db, #ffffff
 348: #000000, #cc0fdb, #ffffff
 349: #000000, #c91edb, #ffffff
 350: #000000, #3f871b, #ffffff
 351: #000000, #3f8718, #ffffff
 352: #000000, #3f8715, #ffffff
 353: #000000, #188a15, #ffffff
 354: #000000, #158a15, #ffffff
 355: #000000, #c32dd5, #ffffff
