   0: #000000, #4327ff, #d68600, #ffffff
   1: #000000, #4327ff, #d58600, #ffffff
   2: #000000, #4227ff, #d68600, #ffffff
   3: #000000, #4227ff, #d58600, #ffffff
   4: #000000, #4226ff, #d68600, #ffffff
   5: #000000, #4226ff, #d58600, #ffffff
   6: #000000, #4128ff, #d68600, #ffffff
   7: #000000, #4128ff, #d58600, #ffffff
   8: #000000, #4127ff, #d68600, #ffffff
   9: #000000, #4127ff, #d58600, #ffffff
  10: #000000, #4126ff, #d68600, #ffffff
  11: #000000, #4126ff, #d58600, #ffffff
  12: #000000, #4028ff, #d68600, #ffffff
  13: #000000, #4028ff, #d58600, #ffffff
  14: #000000, #4027ff, #d68600, #ffffff
  15: #000000, #4027ff, #d58600, #ffffff
  16: #000000, #3f28ff, #d68600, #ffffff
  17: #000000, #3f28ff, #d58600, #ffffff
  18: #000000, #3d2aff, #d68600, #ffffff
  19: #000000, #3d2aff, #d58600, #ffffff
  20: #000000, #3d29ff, #d68600, #ffffff
  21: #000000, #3d29ff, #d58600, #ffffff
  22: #000000, #3c2aff, #d68600, #ffffff
  23: #000000, #3c2aff, #d58600, #ffffff
  24: #000000, #3b2aff, #d68600, #ffffff
  25: #000000, #3b2aff, #d58600, #ffffff
  26: #000000, #3a2bff, #d68600, #ffffff
  27: #000000, #3a2bff, #d58600, #ffffff
  28: #000000, #521cff, #d68600, #ffffff
  29: #000000, #521cff, #d58600, #ffffff
  30: #000000, #521bff, #d68600, #ffffff
  31: #000000, #521bff, #d58600, #ffffff
  32: #000000, #511cff, #d68600, #ffffff
  33: #000000, #511cff, #d58600, #ffffff
  34: #000000, #511bff, #d68600, #ffffff
  35: #000000, #511bff, #d58600, #ffffff
  36: #000000, #501cff, #d68600, #ffffff
  37: #000000, #501cff, #d58600, #ffffff
  38: #000000, #501bff, #d68600, #ffffff
  39: #000000, #501bff, #d58600, #ffffff
  40: #000000, #4f1fff, #d68600, #ffffff
  41: #000000, #4f1fff, #d58600, #ffffff
  42: #000000, #4f1eff, #d68600, #ffffff
  43: #000000, #4f1eff, #d58600, #ffffff
  44: #000000, #4f1dff, #d68600, #ffffff
  45: #000000, #4f1dff, #d58600, #ffffff
  46: #000000, #4e1fff, #d68600, #ffffff
  47: #000000, #4e1fff, #d58600, #ffffff
  48: #000000, #4e1eff, #d68600, #ffffff
  49: #000000, #4e1eff, #d58600, #ffffff
  50: #000000, #4d1fff, #d68600, #ffffff
  51: #000000, #4d1fff, #d58600, #ffffff
  52: #000000, #4c21ff, #d68600, #ffffff
  53: #000000, #4c21ff, #d58600, #ffffff
  54: #000000, #4c20ff, #d68600, #ffffff
  55: #000000, #4c20ff, #d58600, #ffffff
  56: #000000, #4b22ff, #d68600, #ffffff
  57: #000000, #4b22ff, #d58600, #ffffff
  58: #000000, #4b21ff, #d68600, #ffffff
  59: #000000, #4b21ff, #d58600, #ffffff
  60: #000000, #4a22ff, #d68600, #ffffff
  61: #000000, #4a22ff, #d58600, #ffffff
  62: #000000, #4923ff, #d68600, #ffffff
  63: #000000, #4923ff, #d58600, #ffffff
  64: #000000, #4824ff, #d68600, #ffffff
  65: #000000, #4824ff, #d58600, #ffffff
  66: #000000, #4026ff, #d68600, #ffffff
  67: #000000, #4026ff, #d58600, #ffffff
  68: #000000, #3f27ff, #d68600, #ffffff
  69: #000000, #3f27ff, #d58600, #ffffff
  70: #000000, #3f26ff, #d68600, #ffffff
  71: #000000, #3f26ff, #d58600, #ffffff
  72: #000000, #3e28ff, #d68600, #ffffff
  73: #000000, #3e28ff, #d58600, #ffffff
  74: #000000, #3e27ff, #d68600, #ffffff
  75: #000000, #3e27ff, #d58600, #ffffff
  76: #000000, #3c29ff, #d68600, #ffffff
  77: #000000, #3c29ff, #d58600, #ffffff
  78: #000000, #3b29ff, #d68600, #ffffff
  79: #000000, #3b29ff, #d58600, #ffffff
  80: #000000, #3a2aff, #d68600, #ffffff
  81: #000000, #3a2aff, #d58600, #ffffff
  82: #000000, #3a29ff, #d68600, #ffffff
  83: #000000, #3a29ff, #d58600, #ffffff
  84: #000000, #392bff, #d68600, #ffffff
  85: #000000, #392bff, #d58600, #ffffff
  86: #000000, #392aff, #d68600, #ffffff
  87: #000000, #392aff, #d58600, #ffffff
  88: #000000, #3929ff, #d68600, #ffffff
  89: #000000, #3929ff, #d58600, #ffffff
  90: #000000, #382bff, #d68600, #ffffff
  91: #000000, #382bff, #d58600, #ffffff
  92: #000000, #382aff, #d68600, #ffffff
  93: #000000, #382aff, #d58600, #ffffff
  94: #000000, #3829ff, #d68600, #ffffff
  95: #000000, #3829ff, #d58600, #ffffff
  96: #000000, #372bff, #d68600, #ffffff
  97: #000000, #372bff, #d58600, #ffffff
  98: #000000, #372aff, #d68600, #ffffff
  99: #000000, #372aff, #d58600, #ffffff
 100: #000000, #362bff, #d68600, #ffffff
 101: #000000, #362bff, #d58600, #ffffff
 102: #000000, #362aff, #d68600, #ffffff
 103: #000000, #362aff, #d58600, #ffffff
 104: #000000, #352bff, #d68600, #ffffff
 105: #000000, #352bff, #d58600, #ffffff
 106: #000000, #342dff, #d68600, #ffffff
 107: #000000, #342dff, #d58600, #ffffff
 108: #000000, #342cff, #d68600, #ffffff
 109: #000000, #342cff, #d58600, #ffffff
 110: #000000, #332dff, #d68600, #ffffff
 111: #000000, #332dff, #d58600, #ffffff
 112: #000000, #332cff, #d68600, #ffffff
 113: #000000, #332cff, #d58600, #ffffff
 114: #000000, #322eff, #d68600, #ffffff
 115: #000000, #322eff, #d58600, #ffffff
 116: #000000, #322dff, #d68600, #ffffff
 117: #000000, #322dff, #d58600, #ffffff
 118: #000000, #322cff, #d68600, #ffffff
