   0: #000000, #4227ff, #de8100, #ffffff
   1: #000000, #3c2aff, #de8100, #ffffff
   2: #000000, #5418ff, #de8100, #ffffff
   3: #000000, #511bff, #de8100, #ffffff
   4: #000000, #4e1eff, #de8100, #ffffff
   5: #000000, #4b21ff, #de8100, #ffffff
   6: #000000, #4824ff, #de8100, #ffffff
   7: #000000, #3f27ff, #de8100, #ffffff
   8: #000000, #392aff, #de8100, #ffffff
   9: #000000, #362aff, #de8100, #ffffff
  10: #000000, #332dff, #de8100, #ffffff
  11: #000000, #302dff, #de8100, #ffffff
  12: #000000, #2a30ff, #de8100, #ffffff
  13: #000000, #1e33ff, #de8100, #ffffff
  14: #000000, #4821ff, #de8100, #ffffff
  15: #000000, #4524ff, #de8100, #ffffff
  16: #000000, #2d2dff, #de8100, #ffffff
  17: #000000, #2730ff, #de8100, #ffffff
  18: #000000, #2430ff, #de8100, #ffffff
  19: #000000, #2130ff, #de8100, #ffffff
  20: #000000, #1b33ff, #de8100, #ffffff
  21: #000000, #1833ff, #de8100, #ffffff
  22: #000000, #1533ff, #de8100, #ffffff
  23: #000000, #1233ff, #de8100, #ffffff
  24: #000000, #0036ff, #de8100, #ffffff
  25: #000000, #4b24fc, #de8100, #ffffff
  26: #000000, #4827fc, #de8100, #ffffff
  27: #000000, #0f33ff, #de8100, #ffffff
  28: #000000, #0c33ff, #de8100, #ffffff
  29: #000000, #0933ff, #de8100, #ffffff
  30: #000000, #4824fc, #de8100, #ffffff
  31: #000000, #4527fc, #de8100, #ffffff
  32: #000000, #422afc, #de8100, #ffffff
  33: #000000, #3f2afc, #de8100, #ffffff
  34: #000000, #3c2dfc, #de8100, #ffffff
  35: #000000, #392dfc, #de8100, #ffffff
  36: #000000, #3330fc, #de8100, #ffffff
  37: #000000, #4e21fc, #de8100, #ffffff
  38: #000000, #3c2afc, #de8100, #ffffff
  39: #000000, #362dfc, #de8100, #ffffff
  40: #000000, #3030fc, #de8100, #ffffff
  41: #000000, #2d30fc, #de8100, #ffffff
  42: #000000, #2733fc, #de8100, #ffffff
  43: #000000, #2433fc, #de8100, #ffffff
  44: #000000, #1836fc, #de8100, #ffffff
  45: #000000, #2133fc, #de8100, #ffffff
  46: #000000, #1e33fc, #de8100, #ffffff
  47: #000000, #1536fc, #de8100, #ffffff
  48: #000000, #1236fc, #de8100, #ffffff
  49: #000000, #0f36fc, #de8100, #ffffff
  50: #000000, #0c36fc, #de8100, #ffffff
  51: #000000, #0936fc, #de8100, #ffffff
  52: #000000, #0636fc, #de8100, #ffffff
  53: #000000, #4b27f9, #de8100, #ffffff
  54: #000000, #482af9, #de8100, #ffffff
  55: #000000, #0336fc, #de8100, #ffffff
