   0: #000000, #5b11ff, #d5861a, #ffffff
   1: #000000, #5a13ff, #d5861a, #ffffff
   2: #000000, #5a12ff, #d5861a, #ffffff
   3: #000000, #5a11ff, #d5861a, #ffffff
   4: #000000, #5913ff, #d5861a, #ffffff
   5: #000000, #5912ff, #d5861a, #ffffff
   6: #000000, #5816ff, #d5861a, #ffffff
   7: #000000, #5815ff, #d5861a, #ffffff
   8: #000000, #5814ff, #d5861a, #ffffff
   9: #000000, #5716ff, #d5861a, #ffffff
  10: #000000, #4327ff, #d5861a, #ffffff
  11: #000000, #4227ff, #d5861a, #ffffff
  12: #000000, #4226ff, #d5861a, #ffffff
  13: #000000, #4128ff, #d5861a, #ffffff
  14: #000000, #4127ff, #d5861a, #ffffff
  15: #000000, #4126ff, #d5861a, #ffffff
  16: #000000, #4028ff, #d5861a, #ffffff
  17: #000000, #4027ff, #d5861a, #ffffff
  18: #000000, #3f28ff, #d5861a, #ffffff
  19: #000000, #5911ff, #d5861a, #ffffff
  20: #000000, #5813ff, #d5861a, #ffffff
  21: #000000, #5812ff, #d5861a, #ffffff
  22: #000000, #5811ff, #d5861a, #ffffff
  23: #000000, #5715ff, #d5861a, #ffffff
  24: #000000, #5714ff, #d5861a, #ffffff
  25: #000000, #5713ff, #d5861a, #ffffff
  26: #000000, #5712ff, #d5861a, #ffffff
  27: #000000, #5711ff, #d5861a, #ffffff
  28: #000000, #5616ff, #d5861a, #ffffff
  29: #000000, #5615ff, #d5861a, #ffffff
  30: #000000, #5614ff, #d5861a, #ffffff
  31: #000000, #5613ff, #d5861a, #ffffff
  32: #000000, #4026ff, #d5861a, #ffffff
  33: #000000, #3f27ff, #d5861a, #ffffff
  34: #000000, #3f26ff, #d5861a, #ffffff
  35: #000000, #3e28ff, #d5861a, #ffffff
  36: #000000, #3e27ff, #d5861a, #ffffff
  37: #000000, #2b30ff, #d5861a, #ffffff
  38: #000000, #2b2fff, #d5861a, #ffffff
  39: #000000, #2a30ff, #d5861a, #ffffff
  40: #000000, #2930ff, #d5861a, #ffffff
  41: #000000, #2831ff, #d5861a, #ffffff
  42: #000000, #2731ff, #d5861a, #ffffff
  43: #000000, #2631ff, #d5861a, #ffffff
  44: #000000, #2531ff, #d5861a, #ffffff
