   0: #000000, #5a12ff, #d8841b, #ffffff
   1: #000000, #4227ff, #d8841b, #ffffff
   2: #000000, #5715ff, #d8841b, #ffffff
   3: #000000, #5712ff, #d8841b, #ffffff
   4: #000000, #3f27ff, #d8841b, #ffffff
   5: #000000, #2a30ff, #d8841b, #ffffff
   6: #000000, #4524ff, #d8841b, #ffffff
   7: #000000, #2730ff, #d8841b, #ffffff
   8: #000000, #2430ff, #d8841b, #ffffff
   9: #000000, #541efc, #d8841b, #ffffff
  10: #000000, #5121fc, #d8841b, #ffffff
  11: #000000, #3330fc, #d8841b, #ffffff
  12: #000000, #541bfc, #d8841b, #ffffff
  13: #000000, #511efc, #d8841b, #ffffff
  14: #000000, #3030fc, #d8841b, #ffffff
  15: #000000, #2d30fc, #d8841b, #ffffff
  16: #000000, #5421f9, #d8841b, #ffffff
  17: #000000, #5121f9, #d8841b, #ffffff
  18: #000000, #3033f9, #d8841b, #ffffff
  19: #000000, #3330f9, #d8841b, #ffffff
  20: #000000, #2d33f9, #d8841b, #ffffff
  21: #000000, #5127f6, #d8841b, #ffffff
  22: #000000, #452df6, #d8841b, #ffffff
  23: #000000, #3f30f6, #d8841b, #ffffff
  24: #000000, #422df6, #d8841b, #ffffff
  25: #000000, #2a36f6, #d8841b, #ffffff
  26: #000000, #2736f6, #d8841b, #ffffff
  27: #000000, #2436f6, #d8841b, #ffffff
  28: #000000, #1e39f6, #d8841b, #ffffff
  29: #000000, #1b39f6, #d8841b, #ffffff
  30: #000000, #4530f3, #d8841b, #ffffff
  31: #000000, #4230f3, #d8841b, #ffffff
  32: #000000, #2739f3, #d8841b, #ffffff
  33: #000000, #2439f3, #d8841b, #ffffff
  34: #000000, #2139f3, #d8841b, #ffffff
  35: #000000, #1e39f3, #d8841b, #ffffff
  36: #000000, #4530f0, #d8841b, #ffffff
  37: #000000, #4233f0, #d8841b, #ffffff
  38: #000000, #3f33f0, #d8841b, #ffffff
  39: #000000, #2a39f0, #d8841b, #ffffff
  40: #000000, #213cf0, #d8841b, #ffffff
  41: #000000, #1e3cf0, #d8841b, #ffffff
  42: #000000, #2739f0, #d8841b, #ffffff
  43: #000000, #1b3cf0, #d8841b, #ffffff
  44: #000000, #3c36ed, #d8841b, #ffffff
  45: #000000, #3639ed, #d8841b, #ffffff
  46: #000000, #063fed, #d8841b, #ffffff
  47: #000000, #033fed, #d8841b, #ffffff
  48: #000000, #003fed, #d8841b, #ffffff
  49: #000000, #3c39ea, #d8841b, #ffffff
  50: #000000, #3939ea, #d8841b, #ffffff
  51: #000000, #3639ea, #d8841b, #ffffff
  52: #000000, #0342ea, #d8841b, #ffffff
  53: #000000, #0042ea, #d8841b, #ffffff
  54: #000000, #393ce7, #d8841b, #ffffff
  55: #000000, #3c39e7, #d8841b, #ffffff
  56: #000000, #363ce7, #d8841b, #ffffff
  57: #000000, #0642e7, #d8841b, #ffffff
  58: #000000, #0342e7, #d8841b, #ffffff
  59: #000000, #0042e7, #d8841b, #ffffff
  60: #000000, #2442e4, #d8841b, #ffffff
  61: #000000, #2a3fe4, #d8841b, #ffffff
  62: #000000, #2a42e1, #d8841b, #ffffff
  63: #000000, #2742e1, #d8841b, #ffffff
  64: #000000, #2442e1, #d8841b, #ffffff
  65: #000000, #2a42de, #d8841b, #ffffff
  66: #000000, #3642db, #d8841b, #ffffff
  67: #000000, #154bd2, #d8841b, #ffffff
  68: #000000, #124bd2, #d8841b, #ffffff
  69: #000000, #214bcf, #d8841b, #ffffff
  70: #000000, #1e4bcf, #d8841b, #ffffff
  71: #000000, #1b4bcf, #d8841b, #ffffff
  72: #000000, #184bcf, #d8841b, #ffffff
  73: #000000, #154bcf, #d8841b, #ffffff
  74: #000000, #124bcf, #d8841b, #ffffff
  75: #000000, #5124f6, #d8841b, #ffffff
  76: #000000, #5a12ff, #d8841e, #ffffff
  77: #000000, #4227ff, #d8841e, #ffffff
  78: #000000, #5715ff, #d8841e, #ffffff
  79: #000000, #5712ff, #d8841e, #ffffff
  80: #000000, #3f27ff, #d8841e, #ffffff
  81: #000000, #2a30ff, #d8841e, #ffffff
  82: #000000, #4524ff, #d8841e, #ffffff
  83: #000000, #2730ff, #d8841e, #ffffff
  84: #000000, #2430ff, #d8841e, #ffffff
  85: #000000, #541efc, #d8841e, #ffffff
  86: #000000, #5121fc, #d8841e, #ffffff
  87: #000000, #3330fc, #d8841e, #ffffff
  88: #000000, #541bfc, #d8841e, #ffffff
  89: #000000, #511efc, #d8841e, #ffffff
  90: #000000, #3030fc, #d8841e, #ffffff
  91: #000000, #2d30fc, #d8841e, #ffffff
  92: #000000, #5421f9, #d8841e, #ffffff
  93: #000000, #5121f9, #d8841e, #ffffff
  94: #000000, #3033f9, #d8841e, #ffffff
  95: #000000, #3330f9, #d8841e, #ffffff
  96: #000000, #2d33f9, #d8841e, #ffffff
  97: #000000, #5127f6, #d8841e, #ffffff
  98: #000000, #5124f6, #d8841e, #ffffff
  99: #000000, #452df6, #d8841e, #ffffff
 100: #000000, #3f30f6, #d8841e, #ffffff
 101: #000000, #422df6, #d8841e, #ffffff
 102: #000000, #2a36f6, #d8841e, #ffffff
 103: #000000, #2736f6, #d8841e, #ffffff
 104: #000000, #2436f6, #d8841e, #ffffff
 105: #000000, #1e39f6, #d8841e, #ffffff
 106: #000000, #1b39f6, #d8841e, #ffffff
 107: #000000, #4530f3, #d8841e, #ffffff
 108: #000000, #4230f3, #d8841e, #ffffff
 109: #000000, #2739f3, #d8841e, #ffffff
 110: #000000, #2439f3, #d8841e, #ffffff
 111: #000000, #2139f3, #d8841e, #ffffff
 112: #000000, #1e39f3, #d8841e, #ffffff
 113: #000000, #4530f0, #d8841e, #ffffff
 114: #000000, #4233f0, #d8841e, #ffffff
 115: #000000, #3f33f0, #d8841e, #ffffff
 116: #000000, #2a39f0, #d8841e, #ffffff
 117: #000000, #213cf0, #d8841e, #ffffff
 118: #000000, #1e3cf0, #d8841e, #ffffff
 119: #000000, #2739f0, #d8841e, #ffffff
 120: #000000, #1b3cf0, #d8841e, #ffffff
 121: #000000, #3c36ed, #d8841e, #ffffff
 122: #000000, #3639ed, #d8841e, #ffffff
 123: #000000, #063fed, #d8841e, #ffffff
 124: #000000, #033fed, #d8841e, #ffffff
 125: #000000, #003fed, #d8841e, #ffffff
 126: #000000, #3c39ea, #d8841e, #ffffff
 127: #000000, #3939ea, #d8841e, #ffffff
 128: #000000, #3639ea, #d8841e, #ffffff
 129: #000000, #0342ea, #d8841e, #ffffff
 130: #000000, #0042ea, #d8841e, #ffffff
 131: #000000, #393ce7, #d8841e, #ffffff
 132: #000000, #3c39e7, #d8841e, #ffffff
 133: #000000, #363ce7, #d8841e, #ffffff
 134: #000000, #0642e7, #d8841e, #ffffff
 135: #000000, #0342e7, #d8841e, #ffffff
 136: #000000, #0042e7, #d8841e, #ffffff
 137: #000000, #2442e4, #d8841e, #ffffff
 138: #000000, #2a3fe4, #d8841e, #ffffff
 139: #000000, #2a42e1, #d8841e, #ffffff
 140: #000000, #2742e1, #d8841e, #ffffff
 141: #000000, #2442e1, #d8841e, #ffffff
 142: #000000, #2a42de, #d8841e, #ffffff
 143: #000000, #3642db, #d8841e, #ffffff
 144: #000000, #154bd2, #d8841e, #ffffff
 145: #000000, #124bd2, #d8841e, #ffffff
 146: #000000, #214bcf, #d8841e, #ffffff
 147: #000000, #1e4bcf, #d8841e, #ffffff
 148: #000000, #1b4bcf, #d8841e, #ffffff
 149: #000000, #184bcf, #d8841e, #ffffff
 150: #000000, #154bcf, #d8841e, #ffffff
 151: #000000, #124bcf, #d8841e, #ffffff
 152: #000000, #214bcc, #d8841b, #ffffff
 153: #000000, #1e4bcc, #d8841b, #ffffff
 154: #000000, #214bcc, #d8841e, #ffffff
 155: #000000, #1e4bcc, #d8841e, #ffffff
 156: #000000, #0f54b7, #d8841b, #ffffff
 157: #000000, #0c54b7, #d8841b, #ffffff
 158: #000000, #0954b7, #d8841b, #ffffff
 159: #000000, #0654b7, #d8841b, #ffffff
 160: #000000, #0354b7, #d8841b, #ffffff
 161: #000000, #0f54b7, #d8841e, #ffffff
 162: #000000, #0c54b7, #d8841e, #ffffff
 163: #000000, #0954b7, #d8841e, #ffffff
 164: #000000, #0654b7, #d8841e, #ffffff
 165: #000000, #0354b7, #d8841e, #ffffff
 166: #000000, #5a12ff, #d5871b, #ffffff
 167: #000000, #4227ff, #d5871b, #ffffff
