   0: #000000, #4227ff, #d8841e, #ffffff
   1: #000000, #5715ff, #d8841e, #ffffff
   2: #000000, #2730ff, #d8841e, #ffffff
   3: #000000, #541efc, #d8841e, #ffffff
   4: #000000, #3030fc, #d8841e, #ffffff
   5: #000000, #4230f3, #d8841e, #ffffff
   6: #000000, #2739f3, #d8841e, #ffffff
   7: #000000, #1e39f3, #d8841e, #ffffff
   8: #000000, #3939ea, #d8841e, #ffffff
   9: #000000, #0342ea, #d8841e, #ffffff
  10: #000000, #0042ea, #d8841e, #ffffff
  11: #000000, #2742e1, #d8841e, #ffffff
  12: #000000, #1e4bcf, #d8841e, #ffffff
  13: #000000, #154bcf, #d8841e, #ffffff
  14: #000000, #4227ff, #ff690c, #ffffff
  15: #000000, #5715ff, #ff690c, #ffffff
  16: #000000, #2730ff, #ff690c, #ffffff
  17: #000000, #541efc, #ff690c, #ffffff
  18: #000000, #3030fc, #ff690c, #ffffff
  19: #000000, #4230f3, #ff690c, #ffffff
  20: #000000, #2739f3, #ff690c, #ffffff
  21: #000000, #1e39f3, #ff690c, #ffffff
  22: #000000, #3939ea, #ff690c, #ffffff
  23: #000000, #0342ea, #ff690c, #ffffff
  24: #000000, #0042ea, #ff690c, #ffffff
  25: #000000, #2742e1, #ff690c, #ffffff
  26: #000000, #1e4bcf, #ff690c, #ffffff
  27: #000000, #154bcf, #ff690c, #ffffff
  28: #000000, #4227ff, #ff6903, #ffffff
  29: #000000, #4227ff, #ff6900, #ffffff
  30: #000000, #5715ff, #ff6903, #ffffff
  31: #000000, #5715ff, #ff6900, #ffffff
  32: #000000, #2730ff, #ff6903, #ffffff
  33: #000000, #2730ff, #ff6900, #ffffff
  34: #000000, #541efc, #ff6903, #ffffff
  35: #000000, #541efc, #ff6900, #ffffff
  36: #000000, #3030fc, #ff6903, #ffffff
  37: #000000, #3030fc, #ff6900, #ffffff
  38: #000000, #4230f3, #ff6903, #ffffff
  39: #000000, #4230f3, #ff6900, #ffffff
  40: #000000, #2739f3, #ff6903, #ffffff
  41: #000000, #2739f3, #ff6900, #ffffff
  42: #000000, #1e39f3, #ff6903, #ffffff
  43: #000000, #1e39f3, #ff6900, #ffffff
  44: #000000, #3939ea, #ff6903, #ffffff
  45: #000000, #3939ea, #ff6900, #ffffff
  46: #000000, #0342ea, #ff6903, #ffffff
  47: #000000, #0342ea, #ff6900, #ffffff
  48: #000000, #0042ea, #ff6903, #ffffff
  49: #000000, #0042ea, #ff6900, #ffffff
  50: #000000, #2742e1, #ff6903, #ffffff
  51: #000000, #2742e1, #ff6900, #ffffff
  52: #000000, #1e4bcf, #ff6903, #ffffff
  53: #000000, #1e4bcf, #ff6900, #ffffff
  54: #000000, #154bcf, #ff6903, #ffffff
  55: #000000, #154bcf, #ff6900, #ffffff
  56: #000000, #4227ff, #ff6915, #ffffff
  57: #000000, #5715ff, #ff6915, #ffffff
  58: #000000, #2730ff, #ff6915, #ffffff
  59: #000000, #541efc, #ff6915, #ffffff
  60: #000000, #3030fc, #ff6915, #ffffff
  61: #000000, #4230f3, #ff6915, #ffffff
