   0: #000000, #73048e, #687b72, #dca713, #ffffff
   1: #000000, #73048e, #687b72, #dca712, #ffffff
   2: #000000, #73048e, #687b72, #dca711, #ffffff
   3: #000000, #73048e, #687b72, #dca710, #ffffff
   4: #000000, #73048e, #687b72, #dca70f, #ffffff
   5: #000000, #73048e, #687b72, #dca70e, #ffffff
   6: #000000, #73048e, #687b72, #dca70d, #ffffff
   7: #000000, #73048e, #687b72, #dca70c, #ffffff
   8: #000000, #73048e, #687b72, #dca70b, #ffffff
   9: #000000, #73048e, #687b72, #dca70a, #ffffff
  10: #000000, #73048e, #687b72, #dca709, #ffffff
  11: #000000, #73048e, #687b72, #dca708, #ffffff
  12: #000000, #73048e, #687b72, #dca707, #ffffff
  13: #000000, #73048e, #687b72, #dca706, #ffffff
  14: #000000, #73048e, #687b72, #dca705, #ffffff
  15: #000000, #73048e, #687b72, #dca704, #ffffff
  16: #000000, #73048e, #687b72, #dca703, #ffffff
  17: #000000, #73048e, #687b72, #dca702, #ffffff
  18: #000000, #73048e, #687b72, #dca700, #ffffff
  19: #000000, #73038e, #687b72, #dca713, #ffffff
  20: #000000, #73038e, #687b72, #dca712, #ffffff
  21: #000000, #73038e, #687b72, #dca711, #ffffff
  22: #000000, #73038e, #687b72, #dca710, #ffffff
  23: #000000, #73038e, #687b72, #dca70f, #ffffff
  24: #000000, #73038e, #687b72, #dca70e, #ffffff
  25: #000000, #73038e, #687b72, #dca70d, #ffffff
  26: #000000, #73038e, #687b72, #dca70c, #ffffff
  27: #000000, #73038e, #687b72, #dca70b, #ffffff
  28: #000000, #73038e, #687b72, #dca70a, #ffffff
  29: #000000, #73038e, #687b72, #dca709, #ffffff
  30: #000000, #73038e, #687b72, #dca708, #ffffff
  31: #000000, #73038e, #687b72, #dca707, #ffffff
  32: #000000, #73038e, #687b72, #dca706, #ffffff
  33: #000000, #73038e, #687b72, #dca705, #ffffff
  34: #000000, #73038e, #687b72, #dca704, #ffffff
  35: #000000, #73038e, #687b72, #dca703, #ffffff
  36: #000000, #73038e, #687b72, #dca702, #ffffff
  37: #000000, #73038e, #687b72, #dca700, #ffffff
