   0: #000000, #72038d, #697b72, #d8a80c, #ffffff
   1: #000000, #72038d, #697b72, #d8a803, #ffffff
   2: #000000, #72038d, #697b72, #d8a800, #ffffff
   3: #000000, #72038d, #697b72, #d8a815, #ffffff
   4: #000000, #72038d, #697b72, #d8a827, #ffffff
   5: #000000, #72038d, #697b72, #d8a81e, #ffffff
   6: #000000, #72038d, #697b72, #d8a830, #ffffff
   7: #000000, #72038d, #697b72, #d8a839, #ffffff
   8: #000000, #72038d, #697b72, #ff9615, #ffffff
   9: #000000, #72038d, #697b72, #ff960c, #ffffff
  10: #000000, #72038d, #697b72, #ff9603, #ffffff
  11: #000000, #72038d, #697b72, #ff9600, #ffffff
  12: #000000, #72038d, #697b72, #fc961e, #ffffff
  13: #000000, #72038d, #697b72, #fc9627, #ffffff
  14: #000000, #691e84, #697b72, #ff960c, #ffffff
  15: #000000, #691e84, #697b72, #ff9603, #ffffff
  16: #000000, #691e84, #697b72, #ff9600, #ffffff
  17: #000000, #691e84, #697b72, #ff9615, #ffffff
  18: #000000, #691e84, #697b72, #fc961e, #ffffff
  19: #000000, #691e84, #697b72, #fc9627, #ffffff
  20: #000000, #691e84, #697b72, #d8a80c, #ffffff
  21: #000000, #691e84, #697b72, #d8a803, #ffffff
  22: #000000, #691e84, #697b72, #d8a800, #ffffff
  23: #000000, #691e84, #697b72, #d8a815, #ffffff
  24: #000000, #691e84, #697b72, #d8a827, #ffffff
  25: #000000, #691e84, #697b72, #d8a81e, #ffffff
  26: #000000, #691e84, #697b72, #d8a830, #ffffff
  27: #000000, #691e84, #697b72, #d8a839, #ffffff
  28: #000000, #72038d, #697b72, #d8a842, #ffffff
  29: #000000, #691e84, #697b72, #d8a842, #ffffff
  30: #000000, #72038d, #697b72, #cfab30, #ffffff
  31: #000000, #691e84, #697b72, #cfab30, #ffffff
  32: #000000, #69039f, #697b7b, #ff960c, #ffffff
  33: #000000, #69039f, #697b7b, #ff9603, #ffffff
  34: #000000, #69039f, #697b7b, #ff9600, #ffffff
  35: #000000, #69039f, #697b7b, #ff9615, #ffffff
  36: #000000, #69039f, #697b7b, #fc961e, #ffffff
  37: #000000, #69039f, #697b7b, #fc9630, #ffffff
  38: #000000, #69039f, #697b7b, #fc9627, #ffffff
  39: #000000, #69039f, #697b7b, #fc9639, #ffffff
  40: #000000, #69039f, #697b7b, #fc9642, #ffffff
  41: #000000, #69039f, #697b7b, #fc964b, #ffffff
  42: #000000, #69039f, #697b72, #ff960c, #ffffff
  43: #000000, #69039f, #697b72, #ff9603, #ffffff
  44: #000000, #69039f, #697b72, #ff9600, #ffffff
  45: #000000, #69039f, #697b72, #ff9615, #ffffff
  46: #000000, #69039f, #697b72, #fc961e, #ffffff
  47: #000000, #69039f, #697b72, #fc9627, #ffffff
  48: #000000, #69039f, #697b7b, #ea9f42, #ffffff
  49: #000000, #69039f, #697b7b, #ea9f4b, #ffffff
  50: #000000, #69039f, #697b7b, #ea9f57, #ffffff
  51: #000000, #69039f, #697b7b, #ea9f54, #ffffff
  52: #000000, #69039f, #697b7b, #d8a80c, #ffffff
  53: #000000, #69039f, #697b7b, #d8a803, #ffffff
  54: #000000, #69039f, #697b7b, #d8a800, #ffffff
  55: #000000, #69039f, #697b72, #d8a80c, #ffffff
