diff #1 at coord 0,3453: (187, 187, 187) != (188, 188, 188)
diff #2 at coord 0,3469: (187, 187, 187) != (188, 188, 188)
diff #3 at coord 0,3485: (187, 187, 187) != (188, 188, 188)
diff #4 at coord 0,3501: (187, 187, 187) != (188, 188, 188)
diff #5 at coord 0,3517: (187, 187, 187) != (188, 188, 188)
diff #6 at coord 15,3774: (202, 202, 202) != (203, 203, 203)
diff #7 at coord 15,3790: (202, 202, 202) != (203, 203, 203)
diff #8 at coord 15,3806: (202, 202, 202) != (203, 203, 203)
diff #9 at coord 15,3822: (202, 202, 202) != (203, 203, 203)
diff #10 at coord 15,3838: (202, 202, 202) != (203, 203, 203)
diff #11 at coord 16,3774: (202, 202, 202) != (203, 203, 203)
diff #12 at coord 16,3790: (202, 202, 202) != (203, 203, 203)
diff #13 at coord 16,3806: (202, 202, 202) != (203, 203, 203)
diff #14 at coord 16,3822: (202, 202, 202) != (203, 203, 203)
diff #15 at coord 16,3838: (202, 202, 202) != (203, 203, 203)
diff #16 at coord 17,3774: (202, 202, 202) != (203, 203, 203)
diff #17 at coord 17,3790: (202, 202, 202) != (203, 203, 203)
diff #18 at coord 17,3806: (202, 202, 202) != (203, 203, 203)
diff #19 at coord 17,3822: (202, 202, 202) != (203, 203, 203)
diff #20 at coord 17,3838: (202, 202, 202) != (203, 203, 203)
diff #21 at coord 18,3774: (202, 202, 202) != (203, 203, 203)
diff #22 at coord 18,3790: (202, 202, 202) != (203, 203, 203)
diff #23 at coord 18,3806: (202, 202, 202) != (203, 203, 203)
diff #24 at coord 18,3822: (202, 202, 202) != (203, 203, 203)
diff #25 at coord 18,3838: (202, 202, 202) != (203, 203, 203)
diff #26 at coord 19,2698: (144, 144, 144) != (145, 145, 145)
diff #27 at coord 19,2714: (144, 144, 144) != (145, 145, 145)
diff #28 at coord 19,2730: (144, 144, 144) != (145, 145, 145)
diff #29 at coord 19,3774: (202, 202, 202) != (203, 203, 203)
diff #30 at coord 19,3790: (202, 202, 202) != (203, 203, 203)
diff #31 at coord 19,3806: (202, 202, 202) != (203, 203, 203)
diff #32 at coord 19,3822: (202, 202, 202) != (203, 203, 203)
diff #33 at coord 20,2152: (115, 115, 115) != (116, 116, 116)
diff #34 at coord 20,2168: (115, 115, 115) != (116, 116, 116)
diff #35 at coord 20,2698: (144, 144, 144) != (145, 145, 145)
diff #36 at coord 20,2714: (144, 144, 144) != (145, 145, 145)
diff #37 at coord 20,3774: (202, 202, 202) != (203, 203, 203)
diff #38 at coord 20,3790: (202, 202, 202) != (203, 203, 203)
diff #39 at coord 20,3806: (202, 202, 202) != (203, 203, 203)
diff #40 at coord 20,3822: (202, 202, 202) != (203, 203, 203)
diff #41 at coord 21,2698: (144, 144, 144) != (145, 145, 145)
diff #42 at coord 21,2714: (144, 144, 144) != (145, 145, 145)
diff #43 at coord 21,3228: (173, 173, 173) != (174, 174, 174)
diff #44 at coord 21,3244: (173, 173, 173) != (174, 174, 174)
diff #45 at coord 21,3260: (173, 173, 173) != (174, 174, 174)
diff #46 at coord 21,3276: (173, 173, 173) != (174, 174, 174)
diff #47 at coord 21,3758: (202, 202, 202) != (203, 203, 203)
diff #48 at coord 21,3774: (202, 202, 202) != (203, 203, 203)
diff #49 at coord 21,3790: (202, 202, 202) != (203, 203, 203)
diff #50 at coord 21,3806: (202, 202, 202) != (203, 203, 203)
diff #51 at coord 21,3822: (202, 202, 202) != (203, 203, 203)
diff #52 at coord 22,2698: (144, 144, 144) != (145, 145, 145)
diff #53 at coord 22,2714: (144, 144, 144) != (145, 145, 145)
diff #54 at coord 22,3228: (173, 173, 173) != (174, 174, 174)
diff #55 at coord 22,3244: (173, 173, 173) != (174, 174, 174)
diff #56 at coord 22,3260: (173, 173, 173) != (174, 174, 174)
diff #57 at coord 22,3276: (173, 173, 173) != (174, 174, 174)
diff #58 at coord 22,3758: (202, 202, 202) != (203, 203, 203)
diff #59 at coord 22,3774: (202, 202, 202) != (203, 203, 203)
diff #60 at coord 22,3790: (202, 202, 202) != (203, 203, 203)
diff #61 at coord 22,3806: (202, 202, 202) != (203, 203, 203)
diff #62 at coord 22,3822: (202, 202, 202) != (203, 203, 203)
diff #63 at coord 23,2682: (144, 144, 144) != (145, 145, 145)
diff #64 at coord 23,2698: (144, 144, 144) != (145, 145, 145)
diff #65 at coord 23,3228: (173, 173, 173) != (174, 174, 174)
diff #66 at coord 23,3244: (173, 173, 173) != (174, 174, 174)
diff #67 at coord 23,3260: (173, 173, 173) != (174, 174, 174)
diff #68 at coord 23,3758: (202, 202, 202) != (203, 203, 203)
diff #69 at coord 23,3774: (202, 202, 202) != (203, 203, 203)
diff #70 at coord 23,3790: (202, 202, 202) != (203, 203, 203)
diff #71 at coord 23,3806: (202, 202, 202) != (203, 203, 203)
diff #72 at coord 23,3822: (202, 202, 202) != (203, 203, 203)
diff #73 at coord 24,2682: (144, 144, 144) != (145, 145, 145)
diff #74 at coord 24,2698: (144, 144, 144) != (145, 145, 145)
diff #75 at coord 24,3228: (173, 173, 173) != (174, 174, 174)
diff #76 at coord 24,3244: (173, 173, 173) != (174, 174, 174)
diff #77 at coord 24,3260: (173, 173, 173) != (174, 174, 174)
diff #78 at coord 24,3758: (202, 202, 202) != (203, 203, 203)
diff #79 at coord 24,3774: (202, 202, 202) != (203, 203, 203)
diff #80 at coord 24,3790: (202, 202, 202) != (203, 203, 203)
diff #81 at coord 24,3806: (202, 202, 202) != (203, 203, 203)
diff #82 at coord 24,3822: (202, 202, 202) != (203, 203, 203)
diff #83 at coord 25,2682: (144, 144, 144) != (145, 145, 145)
diff #84 at coord 25,2698: (144, 144, 144) != (145, 145, 145)
diff #85 at coord 25,3212: (173, 173, 173) != (174, 174, 174)
diff #86 at coord 25,3228: (173, 173, 173) != (174, 174, 174)
